tweet_id,retweet_count,favorite_count
857746408056729600,10566,34033
857393404942143489,1634,5861
857263160327368704,4490,19911
857214891891077121,17,227
857062103051644929,169,0
857029823797047296,3987,18834
856543823941562368,2877,16212
856526610513747968,1874,11812
856330835276025856,671,0
856288084350160898,17,516
856282028240666624,6287,27652
855862651834028034,26,345
855860136149123072,1014,4993
855857698524602368,2111,11843
855851453814013952,17866,45505
855818117272018944,5443,26605
855459453768019968,8227,29889
855245323840757760,5986,0
855138241867124737,45,0
854732716440526848,6096,22872
854482394044301312,6903,29361
854365224396361728,4715,18932
854120357044912130,7532,32099
854010172552949760,3178,16252
853760880890318849,5805,28713
853639147608842240,10191,34992
853299958564483072,3586,15605
852936405516943360,2027,0
852912242202992640,1849,9135
852672615818899456,2176,15042
852553447878664193,3546,16471
852311364735569921,10037,33427
852226086759018497,6907,20185
852189679701164033,1606,11566
851861385021730816,20,0
851591660324737024,3525,16404
851464819735769094,7178,24509
851224888060895234,5811,20904
850753642995093505,9358,31290
850380195714523136,2658,13241
850333567704068097,340,3492
850145622816686080,3874,16550
850019790995546112,4969,20712
849776966551130114,7741,30915
849668094696017920,5051,0
849412302885593088,3207,16106
849336543269576704,1940,11569
849051919805034497,8667,43061
848690551926992896,4411,25585
848324959059550208,4697,25169
848213670039564288,757,8324
848212111729840128,3130,16607
847978865427394560,3334,0
847971574464610304,442,0
847962785489326080,5213,23933
847842811428974592,1361,5550
847617282490613760,431,7110
847606175596138505,3495,19114
847251039262605312,4389,20849
847157206088847362,6000,20306
847116187444137987,3264,21831
846874817362120707,4016,20476
846514051647705089,11890,45495
846505985330044928,3157,14392
846153765933735936,9299,32320
846139713627017216,10211,31542
846042936437604353,2951,16330
845812042753855489,8960,29894
845677943972139009,4916,25697
845397057150107648,1854,7798
845306882940190720,5547,23842
845098359547420673,7873,0
844979544864018432,2635,13925
844973813909606400,3301,15444
844580511645339650,3225,16855
844223788422217728,2268,13946
843981021012017153,3019,15497
843856843873095681,4765,21935
843604394117681152,2834,17284
843235543001513987,6216,22038
842846295480000512,3733,15610
842765311967449089,1321,6914
842535590457499648,3616,18539
842163532590374912,5986,25085
842115215311396866,3133,14348
841833993020538882,15727,0
841680585030541313,8034,26311
841439858740625411,3805,12959
841320156043304961,5654,20300
841314665196081154,4832,16234
841077006473256960,5478,23458
840761248237133825,1820,0
840728873075638272,16722,0
840698636975636481,2,181
840696689258311684,1015,12610
840632337062862849,1820,9228
840370681858686976,4709,16916
840268004936019968,5918,19797
839990271299457024,2373,13785
839549326359670784,8045,28242
839290600511926273,148,0
839239871831150596,6768,27961
838952994649550848,4132,20180
838921590096166913,2140,11487
838916489579200512,36,0
838831947270979586,11446,0
838561493054533637,1377,11237
838476387338051585,4973,23230
838201503651401729,10441,0
838150277551247360,348,1727
838085839343206401,1,145
838083903487373313,3271,18135
837820167694528512,8168,35175
837482249356513284,460,3944
837471256429613056,2364,13171
837110210464448512,2476,16533
836989968035819520,2381,13104
836753516572119041,4817,19871
836677758902222849,2308,12991
836648853927522308,567,0
836397794269200385,28747,0
836380477523124226,3096,15206
836260088725786625,4459,21935
836001077879255040,4449,19675
835685285446955009,8469,0
835574547218894849,3766,18352
835536468978302976,1775,0
835309094223372289,21885,0
835297930240217089,3123,16957
835264098648616962,1775,7968
835246439529840640,73,2165
835172783151792128,5992,26978
835152434251116546,3150,23170
834931633769889797,1721,11170
834786237630337024,5724,21919
834574053763584002,2646,14113
834477809192075265,11142,0
834458053273591808,1757,9930
834209720923721728,4972,21274
834167344700198914,3801,16300
834089966724603904,2217,10367
834086379323871233,2301,13481
833863086058651648,2501,13859
833826103416520705,3907,18602
833732339549220864,225,0
833722901757046785,3353,21439
833479644947025920,2135,15336
833124694597443584,5051,20871
832998151111966721,2310,13728
832769181346996225,39,0
832757312314028032,3781,17385
832682457690300417,3053,12283
832645525019123713,546,3027
832636094638288896,2908,16381
832397543355072512,2316,12336
832369877331693569,3334,17756
832273440279240704,2444,11703
832215909146226688,6489,0
832215726631055365,9794,0
832088576586297345,2,67
832040443403784192,10106,0
832032802820481025,4875,18457
831939777352105988,6411,24807
831926988323639298,34,352
831911600680497154,6812,28609
831670449226514432,1896,10809
831650051525054464,2027,7431
831552930092285952,2405,9298
831322785565769729,1611,9560
831315979191906304,1171,6761
831309418084069378,2569,12153
831262627380748289,2139,12334
830956169170665475,1563,8253
830583320585068544,17589,69263
830173239259324417,5973,0
830097400375152640,3120,10181
829878982036299777,5270,0
829861396166877184,2050,12676
829501995190984704,11142,32914
829449946868879360,2119,10857
829141528400556032,7749,25359
829011960981237760,17090,55008
828801551087042563,3562,0
828770345708580865,6160,26511
828708714936930305,11794,37936
828650029636317184,1418,9869
828409743546925057,1215,6558
828408677031882754,1358,7962
828381636999917570,2336,13103
828376505180889089,1124,7667
828372645993398273,3099,13038
828361771580813312,178,2288
828046555563323392,3009,12203
828011680017821696,2260,10752
827933404142436356,5493,20881
827653905312006145,3158,16048
827600520311402496,990,7687
827324948884643840,3208,16442
827199976799354881,2360,10977
826958653328592898,5270,22403
826848821049180160,10729,37829
826615380357632002,4172,0
826598799820865537,265,5301
826598365270007810,2469,10447
826476773533745153,4434,19151
826240494070030336,2732,13799
826204788643753985,975,5065
826115272272650244,3298,16283
825876512159186944,1974,10872
825829644528148480,2615,13244
825535076884762624,18163,54248
825147591692263424,4787,19034
825120256414846976,1353,0
825026590719483904,1353,6591
824796380199809024,5792,0
824775126675836928,3707,15547
824663926340194305,1829,10492
824325613288833024,11005,12282
824297048279236611,4068,15678
824025158776213504,621,4985
823939628516474880,2866,11072
823719002937630720,11807,0
823699002998870016,2654,14497
823581115634085888,2785,13562
823333489516937216,26,729
823322678127919110,4242,16397
823269594223824897,10410,0
822975315408461824,3629,18016
822872901745569793,45945,137522
822859134160621569,2415,13811
822647212903690241,6749,0
822610361945911296,3122,15410
822489057087389700,6749,18925
822462944365645825,15335,29521
822244816520155136,10410,36494
822163064745328640,5067,0
821886076407029760,2458,11817
821813639212650496,3531,0
821765923262631936,1745,8773
821522889702862852,1874,8370
821421320206483457,5913,0
821407182352777218,4579,12291
821153421864615936,10,265
821149554670182400,2122,9075
821107785811234820,2247,10005
821044531881721856,2422,13203
820837357901512704,7103,0
820749716845686786,10441,32907
820690176645140481,3409,12741
820494788566847489,601,0
820446719150292993,2713,0
820314633777061888,601,3480
820078625395449857,6625,20686
820013781606658049,1254,0
819952236453363712,1254,5560
819924195358416896,5138,13464
819711362133872643,3299,14034
819588359383371776,2087,10013
819347104292290561,1274,7538
819238181065359361,430,2386
819227688460238848,7103,24119
819015337530290176,38937,0
819015331746349057,20024,0
